,lgRate,weight,lgTime,Year
GRB 071118,"[4.32731499 4.34685857 4.39181076 4.34068261 4.35744713 4.31737962
 4.31237922 4.39580621 4.30186261 4.22692377 4.09380888 4.16705727
 4.38640371 4.17215323 4.07120059 4.07259249 4.04809322 3.96935491
 3.89797087 3.88410572 3.9876282  3.88365258 3.92662876 3.97006226
 4.0375966  3.98673932 4.04134965 3.90928976 3.81451981 3.96715647
 3.87344488 3.69327853 3.59831416 3.77294658 3.41467726 3.57443769
 3.7767176  3.68824696 3.70179276 3.59665646 3.53575299 3.54856212
 3.73445922 3.75176787 3.79107694 3.76976956 3.95414329 3.95814491
 4.11250781 3.86861682 3.87638067 3.85507591 3.93532575 3.83625776
 3.77434146 3.72585563 3.62538881 3.60273577 3.65397244 3.32192946
 3.29930939 3.20519651 3.09094265 3.25250497 2.95167122 3.0128659
 2.99877456 3.11198395 2.99104913 2.7654234  2.6291872  2.82006274
 2.54545322 2.5052778  2.5082316  2.60530397 2.5050103  2.651828
 2.48371051 2.48561937 2.4503318  2.6465043  2.6589236  2.41435136
 2.40913207 2.41686824 2.61699363 2.56382601 2.44576015 2.52462431
 2.68077421 2.55810193 2.39873699 2.31574853 2.19233965 2.18221629
 2.40489219 2.21055875 2.43217498 2.28154535 2.28678801 2.32424952
 2.42766038 2.37469648 2.18741524 2.34789589 2.20783356 2.22234235
 2.09321465 1.87650979 2.09902249 1.95954059 2.0725789  1.93054443
 1.87770529 0.29342687]","[238.56499831 229.70598806 221.1004797  238.57125648 238.57298998
 238.57513753 238.57615871 238.57650732 212.74788908 229.71461948
 221.10675789 229.71206573 238.57235163 238.57157721 238.56920258
 238.56637666 238.56874798 174.95387698 159.0480739  150.24963513
 169.64886369 159.0469312  159.04772931 159.04793196 238.56474973
 150.24999262 229.7053007  159.04786518 159.04854566 164.35012525
 110.50040658 115.80212795 114.40992194 105.19865747 115.80227238
 121.38358278 105.75783522 114.40999851 104.36261427 115.80222792
 110.50040983 115.80224677 111.33989613 115.80219142 111.05962631
 103.80717893 105.19862187 105.19857903 188.91106206 110.22132861
 110.2212584  105.75784003 126.12666702 120.82479851 105.75784372
 110.50044936 110.779847   105.47801349 105.19863109 104.36264204
 105.19857623 102.97700056 109.1086022  105.19857669 104.64090141
 104.64097211 109.66419358 104.91951891 104.91953441 102.97703336
  99.69018612 206.78343256 104.9280432  104.92801782 105.37580314
 104.0847294  104.51719611 104.0848188  104.08477743 110.46035883
 104.27837843 104.30083449 105.37569545 105.38035919 103.86885985
 104.70672605 104.72925632 104.73373139 105.81550098 105.14953327
 104.7337492  177.20706431 104.25622244 104.47808387 105.36807304
 104.47812313 109.77977849 104.47812679 104.25629667 104.03462383
 104.47814754 104.70026576 115.74877627 104.70026838 104.03465525
 103.25845371 152.19338619 105.62813776 104.53909967  78.16692481
 105.49173933  77.62568465 104.8108747   77.89606438 134.72232016
  25.08320436]","[2.11553063 2.12396265 2.13029516 2.13778439 2.14415684 2.15188445
 2.15870015 2.16563896 2.17326204 2.18032376 2.1894482  2.19983742
 2.20783895 2.21576971 2.225392   2.23683693 2.24733239 2.25695335
 2.2678051  2.27795743 2.28627229 2.29622629 2.30571027 2.31393889
 2.32303748 2.33094515 2.33877114 2.3473632  2.35680765 2.36489229
 2.38942481 2.41964189 2.4600314  2.48366431 2.52513684 2.56010997
 2.58594326 2.60455759 2.62287688 2.64480675 2.6708236  2.69455255
 2.71820514 2.73065714 2.74241795 2.75394061 2.76361964 2.77087777
 2.7796845  2.78798938 2.79610579 2.80502416 2.81405572 2.82339597
 2.8337347  2.8431312  2.85696681 2.86817169 2.88182444 2.89928962
 2.92045258 2.94559314 2.97662505 3.0063689  3.03982006 3.07131632
 3.10099018 3.13296884 3.15585081 3.18881491 3.2322638  3.29177698
 3.73069718 3.73659663 3.74499886 3.75602181 3.76775018 3.77656826
 3.7861643  3.79494914 3.8033001  3.81165013 3.81882531 3.82555373
 3.83494167 3.84632585 3.85383055 3.86128051 3.86925115 3.87530828
 3.88143739 3.89048792 4.04843104 4.0537439  4.06047788 4.06711778
 4.07322352 4.07826548 4.0837041  4.0882229  4.09397474 4.09825217
 4.1034072  4.10785476 4.11175062 4.11955738 4.13104164 4.2312608
 4.23595844 4.24164578 4.24724903 4.25230997 4.25778985 4.26329584
 4.27081781 5.06930577]",2007
GRB 151111A,"[4.4771337  4.5136727  4.50390176 4.50662935 4.4302091  4.43698988
 4.48444534 4.54469261 4.33034781 4.52802844 4.56508596 4.65690507
 4.6192116  4.55163075 4.6407906  4.52196572 4.61413569 4.55917297
 4.6075586  4.51597526 4.72340838 4.66445064 4.66901603 4.63525739
 4.69753176 4.62483745 4.67914124 4.68436755 4.71568661 4.61770136
 4.64886067 4.64307556 4.65670378 4.66843382 4.66453311 4.67376484
 4.58823674 4.64290018 4.69487473 4.73863622 4.56284674 4.58771231
 4.68168544 4.5810851  4.59369513 4.67106263 4.73620378 4.60242931
 4.51942027 4.63988385 4.48299271 4.62717612 4.54760809 4.53589096
 4.48929838 4.55507546 4.60743894 4.43377879 4.531116   4.5867629
 4.50873382 4.59281485 4.47647106 4.48920787 4.47676296 4.60440892
 4.63992435 4.44643215 4.46300573 4.67106097 4.51937772 4.46992785
 4.47941636 4.46779835 4.4160504  4.42876746 4.33106513 4.3953755
 4.38804807 4.39467297 4.44059773 4.35396756 4.36665135 4.38506906
 4.31601545 4.30850188 4.30185307 4.39518114 4.18202213 4.30722596
 4.25084896 4.26119718 4.21095678 4.30217069 4.14375216 4.2404147
 4.23114145 4.07109294 4.1477162  4.24917976 4.04379125 3.97395117
 4.02220312 4.09399989 3.98272167 4.12453748 3.94399574 3.91060861
 3.96181866 4.13644025 3.98222427 3.79261242 3.95632843 3.8309377
 3.80963418 3.86033417 3.80392209 3.80881121 3.72900895 3.55416329
 3.52413638 3.38537691 3.39785001 3.2926213  2.95749959 3.28937599
 3.05785773 2.92728118 2.76621053 2.72107713 2.43512754 1.79848359
 1.84690473 1.74373728 1.64031792 1.28987022 1.23980307 1.19312376
 1.07032939 1.04013853 0.7868255  0.29399155]","[231.25616722 221.49568282 219.53839547 222.13138407 197.92217136
 203.07046269 211.07002342 208.0213884  171.16130566 189.52044219
 198.18193631 197.77472522 196.9393219  201.00207777 202.45723513
 197.19877758 181.13133816 189.07784297 182.11765664 199.80790516
 197.76363151 200.91433737 200.02335787 210.88639421 207.03337466
 193.22430474 194.05299787 196.97919915 207.95352779 192.62814566
 202.77245488 210.5482693  203.34206217 207.26104239 204.73279343
 205.90381942 214.60450816 218.19790476 204.0390727  218.37129406
 209.8902025  216.21658732 208.92783915 212.88846945 212.62745586
 215.32126648 222.71484069 218.21225326 209.04451985 222.45797239
 207.06483908 221.74564878 225.88939648 226.59727751 219.6349011
 216.74124236 225.07211381 194.84202238 219.62602296 220.07220149
 211.41201101 226.11410986 226.55962894 226.73482051 227.31564841
 216.97216894 219.01848636 231.21833494 222.94732271 231.18362596
 220.60345839 209.40893775 224.88135032 211.23701444 230.34995084
 212.49291193 211.96039144 231.64470132 213.01058671 230.00795563
 221.69947288 231.00748253 222.21307802 212.42875236 229.18601642
 221.17111097 228.83382296 228.56027082 217.40058432 217.88304894
 229.74020561 220.4298836  218.56987404 227.83351667 219.63700677
 226.49982196 219.01855941 220.24936919 218.74947514 228.79628729
 212.69220811 137.1994703  220.49486368 220.40172971 145.38769021
 227.68249141 145.01838782 154.80671586 145.80676641 219.21964215
 153.89554238 145.17791357 150.42084986 136.76955224 154.20959232
 150.77328521 145.85896494 136.71622276 145.13897132 116.03003992
 105.12120001 115.72475387 126.63370819 105.42632676 109.81381859
 105.42632068 110.11816257 105.12112543 104.81646042 104.20847245
 123.5592473   78.57380903  78.41517515  78.33603031  76.99549896
 106.33535552  76.14156859  75.87731243  96.6414055  106.2209946
 143.47564487  57.69141672]","[1.90095671 1.91097106 1.92066586 1.92964879 1.93917967 1.9501116
 1.95907003 1.96777255 1.97907923 1.98904025 1.99651167 2.00280946
 2.0087364  2.01474309 2.02111484 2.02800972 2.03442389 2.04070517
 2.04700603 2.05239379 2.05795883 2.06260454 2.06728665 2.07240799
 2.0767278  2.08140852 2.08595026 2.09019454 2.0943663  2.09907953
 2.10342397 2.10777283 2.11202153 2.11627226 2.12069236 2.12425636
 2.12874812 2.13313956 2.13735095 2.14054889 2.14482319 2.1494439
 2.15354964 2.1577166  2.16211315 2.16608657 2.1692158  2.17302301
 2.17759421 2.18203212 2.18653256 2.1906762  2.19448104 2.19896758
 2.20323692 2.20794927 2.21185176 2.21639289 2.22106719 2.22506104
 2.22882879 2.23279797 2.23673119 2.24130486 2.24563356 2.24979006
 2.25260063 2.25671294 2.26140563 2.26484143 2.2682362  2.27204825
 2.27595368 2.28044633 2.28491777 2.28934141 2.29429424 2.29956831
 2.30407672 2.30912959 2.31355931 2.31814685 2.32314687 2.32773686
 2.33298351 2.33756907 2.34304407 2.34803213 2.35324283 2.35920349
 2.36554227 2.37056675 2.37603101 2.38178992 2.38797502 2.3941311
 2.3995647  2.40646183 2.41404698 2.41993924 2.4266869  2.433869
 2.44055489 2.4483507  2.45485248 2.46107663 2.46625948 2.47383427
 2.47922105 2.48539345 2.49057084 2.49672075 2.50472226 2.51128563
 2.51865736 2.5261738  2.53347336 2.54104353 2.54864488 2.57194164
 2.58871978 2.60936707 2.63480463 2.65928092 2.69541863 2.73265667
 2.76069534 2.79097864 2.84813182 2.89079144 2.96591678 3.74481296
 3.77359828 3.79992514 3.82908451 4.09032603 4.23674177 4.26785402
 4.37467786 4.46410425 4.6205935  5.31933748]",2015
GRB 090201,"[ 2.98701684  3.21018363  3.01375965  3.10697036  3.2477757   3.01786605
  3.06793932  3.09987461  3.07002826  3.07403891  2.98768521  2.8713381
  3.11079301  3.09290057  2.94833657  2.96810775  2.9079986   2.96368916
  3.16760883  2.79938453  2.9615655   2.92248993  2.98970725  3.09486122
  2.95053245  3.02029953  2.99244478  2.94425135  2.88189575  2.96298397
  2.83038578  3.29405356  2.90442718  3.08805773  2.90585813  3.06941055
  3.01705046  2.7532233   2.85377296  2.7617946   2.62807521  2.7999935
  2.72212366  2.76167222  2.57976714  2.55031056  2.72609062  2.48457756
  2.68269333  2.66606126  2.58924523  2.50029714  2.45115879  2.34558171
  2.33985851  2.366138    2.48124952  2.46642346  2.34116516  2.4311773
  2.61164016  2.38867372  2.30729575  2.31083558  2.38930699  2.22813898
  2.30942851  2.28442893  2.24303656  2.22945273  2.48759054  2.18702156
  2.37810579  2.30996513  2.27346335  2.17480674  2.260027    2.26708909
  2.17486162  2.26332142  2.11827961  2.14691711  2.06742499  2.12102247
  2.07886917  2.1383447   1.8995761   2.21940742  2.22022319  1.92865113
  1.84379861  2.05543606  1.95880075  1.9666607   1.87289814  1.861845
  2.09640872  1.82612847  1.46369848  1.35381163  1.79819823  1.75851684
  1.85421553  1.78813208  1.8606859   1.81809156  1.92068097  1.84733552
  1.66483953  1.59757727  1.52464585  1.80832213  1.72075557  1.53363329
  1.49317549  1.52831457  1.67847049  1.50834357  1.65571656  1.61033049
  1.41065764  1.47332315  1.49418842  1.58987178  1.60148732  1.65650642
  1.44804619  1.49796077  1.36117215  1.40148774  1.43042306  1.39045553
  1.2747862   1.29270166  1.44916572  1.17031189  1.32785283  1.27900496
  1.27720659  1.2447065   1.13679189  1.00332566  1.1188914   1.00482332
  0.91882016  1.01173407  0.80273727  0.77642629  0.77773427  0.4847251
  0.5649184   0.35876892  0.18399202  0.1438635  -0.22427482]","[110.41811853 105.73024465 105.11624813 104.5041771  116.64172217
 105.42297343 110.72486042 105.11621656 110.72488153 110.1117168
 116.02681253 104.81002924 132.23967875 110.41803994 111.33986135
 104.19878804 110.72496599 110.72496559 105.7303047  105.11637281
 103.58942723 104.81001753 104.8100274  105.42302108 110.72488795
 105.73026462 105.42305156 104.50415435 104.50417634 109.5003246
 104.81000389 105.73023176 111.03219831 110.11176768 110.41808056
 106.03784114 183.7235764  105.18263235 104.75643119 105.18272706
 105.18272086 105.60986178 104.54357684 110.05816228 105.18269359
 104.33097371 104.54358889 103.06000851 109.42015704 105.60977125
 147.38381564 110.06364421 188.14938458 103.36538291 110.49145593
 104.76667408 106.03799316 105.40137794 104.34469685 104.55553909
 110.30502882 104.79690016 104.97809976 104.9780138  163.08612039
 104.34736659 104.13705033 104.76875984 104.13709441 104.76883369
 105.82588139 104.13705905 105.40237955 109.85961956 102.92945873
 105.40230931 104.97972997 110.0704848  105.40242803 193.42187125
 104.20499206 103.92438615 104.34532864 103.78419296 104.62656784
 104.62651806  77.83812182 105.18984056 105.33099317 113.82667608
  77.85168399 104.91712898  78.40858211  83.43135539  77.29674207
  83.01395604 104.91703292 144.54581871  66.45848017 147.2289021
  69.92002791  76.83377117  78.44492991  77.77157873  77.77156511
  76.70019425  78.71513468 130.24707876  77.76504115  77.99391863
  77.23224716  78.37615762  83.67777923  77.52928363  77.943663
 144.29120732  78.70225746  77.71660772  77.88049437 114.00622033
  76.42241887 138.64684006  73.20284223  77.92223739  78.11042668
 150.82524621  77.54739536  77.82887364  87.30687468  76.71409158
 118.09777248 147.96493699  85.33796303  73.42523428 118.50952605
 105.45688488  76.46091816 117.43840905 110.5782632  127.71013625
 101.13207843  75.1269928   80.22787323  79.16283687  73.60555084
  80.44921637  92.56840517 106.83281778  78.2819907   79.2468565
  91.60802734  70.24492809  86.22361144  65.975108    19.50870721]","[3.56239946 3.56689523 3.57077287 3.57548736 3.57889742 3.58306087
 3.58773801 3.59227727 3.59653134 3.60058196 3.60560927 3.61143152
 3.61720957 3.6211343  3.62577367 3.63039685 3.63606995 3.641692
 3.64546118 3.65047781 3.65624994 3.66094626 3.6653453  3.66954996
 3.67356625 3.67764144 3.68168336 3.68596724 3.69055418 3.69546714
 3.70049612 3.70422733 3.70778403 3.71188244 3.71609879 3.71963552
 3.72455029 3.98528255 3.98889498 3.99219462 3.9962653  4.0009908
 4.00450778 4.00877798 4.01312764 4.01760339 4.02305634 4.02828936
 4.03334895 4.03725701 4.04326991 4.16216326 4.16559388 4.19079673
 4.19522007 4.19808608 4.20072832 4.20309506 4.20558783 4.20850491
 4.21144571 4.21512854 4.21919556 4.22247328 4.22549123 4.30743444
 4.31042337 4.3131454  4.31597158 4.31895177 4.32115397 4.32364904
 4.32641345 4.32927056 4.3328321  4.33674167 4.33979083 4.34249023
 4.3455659  4.34999681 4.41708813 4.42074828 4.42453346 4.42879424
 4.43275615 4.4362636  4.44121611 4.4444586  4.44722649 4.45114848
 4.50424566 4.50802411 4.51160831 4.5145662  4.5180346  4.52236025
 4.52586146 4.53074704 4.57947088 4.59276468 4.63871824 4.64182556
 4.64488726 4.64820633 4.65065365 4.6535325  4.65563618 4.65887799
 4.69345723 4.69835158 4.7036504  4.70766571 4.71085326 4.74299388
 4.74757538 4.75411941 4.78536379 4.79012321 4.79385369 4.79808993
 4.8259818  4.83378288 4.86144632 4.86424853 4.86723141 4.87106964
 4.89600482 4.89922856 4.9037042  4.92847925 4.93266778 4.96030337
 4.98750812 5.00812536 5.01267907 5.03400147 5.05436963 5.08998138
 5.12598309 5.16229037 5.19530208 5.22362772 5.2551052  5.29512992
 5.32696562 5.35545939 5.38740701 5.43664456 5.48681748 5.54742483
 5.60431645 5.67273924 5.76060543 5.85612864 5.91145277]",2009
GRB 050505,"[ 2.78832487  2.87220891  2.8164242   3.02973797  2.82022038  2.79022793
  2.90778197  2.8284385   2.83234909  2.7776887   2.84730972  2.80405795
  3.05932974  3.05498591  2.80434515  2.861785    2.86533025  2.93095916
  2.78206394  2.76498447  3.00879258  2.77749794  2.7949396   2.88360006
  2.95644362  2.8599574   2.79692309  2.74784278  2.88848457  2.82762693
  2.83187924  2.95742922  2.93799741  2.8159565   2.69823125  2.60596461
  2.84129007  2.77171136  2.80997859  2.69759921  2.69537116  2.58791381
  2.73895511  2.84933144  2.67510824  2.79479452  2.72744121  2.44807853
  2.72383619  2.53549476  2.6022353   2.57697148  2.64302162  2.713392
  2.65784509  2.4892356   2.55077351  2.69763101  2.54178511  2.46843773
  2.34437223  2.33549902  2.51878904  2.63240505  2.57454794  2.41930729
  2.48021282  2.49830531  2.38588017  2.55827298  2.59239762  2.54238394
  2.31565259  2.47231813  2.3306832   2.52095399  2.2963602   2.47197826
  2.44824674  2.45486132  2.32047323  2.35050406  2.38849995  2.33463387
  2.39309432  2.20884241  2.23153916  2.39524005  2.21811387  2.20808082
  2.31699591  2.19178373  2.22169976  2.19541197  2.42375886  2.30274749
  2.11678767  2.29230548  2.19008814  2.25249234  2.38650574  2.12895213
  2.08676617  2.11436808  2.13852216  2.01850827  1.98997688  2.18344495
  2.09925166  2.14434937  2.08356067  2.107581    1.97393973  1.99578634
  1.99918428  2.08306237  1.98761416  2.0510811   1.98691628  2.0443457
  2.07294473  1.98116246  1.9044005   1.79014852  1.91006138  2.16880439
  2.05384336  1.90527749  2.07520852  1.87660166  1.96032125  1.95677127
  2.02191913  2.07812281  1.93347008  2.04501417  1.90639711  1.86713961
  1.81532693  1.80433656  1.96887191  1.79387388  1.85876529  1.7464701
  1.71054755  1.81651651  1.76212015  1.75173764  1.75134709  1.79201018
  1.81559408  1.57813908  1.62234429  1.91927542  1.59564004  1.68243788
  1.61686269  1.50322996  1.51358886  1.60089735  1.68661053  1.64791055
  1.52673875  1.68280252  1.75981125  1.49816039  1.51718521  1.26855761
  1.39470693  1.74021508  1.6167633   1.34052145  1.40776622  1.21854942
  1.47211096  1.35952074  1.39313894  1.17074299  1.24216212  1.14912115
  1.11922487  1.2888314   1.35250455  0.91536421  1.06347447  1.0294759
 -0.03415204 -0.51545332]","[113.01232013 103.49251777 103.85423827 109.51802219 104.57956316
 108.79371895 105.30750988 104.94311453 105.67234042 104.21662009
 103.49249199 103.13147767 105.67243075 116.27605138 102.41145214
 103.49253622 103.13153142 104.57958418 103.49251009 109.8812119
 104.57958223 103.49256813 105.67233309 109.51811941 116.27611712
 103.13153304 115.9110915  109.5180818  114.0949003  113.01229266
 104.94309543 104.57955594 104.57949531 180.84121772 104.76354015
 104.50955648 104.76353724 104.76355907 110.3194955  103.74955017
 109.55748095 105.01773092 110.06521219 110.8291314  107.78964612
 105.01771836 104.5095336  104.73798409 110.56386009 110.06524666
 105.01777229 103.49694809 116.13095695 103.24456985 111.08432098
 104.50954467 103.74959708 104.76356011 104.25592688 156.5105967
 104.22013437 103.18858054 105.25689434 115.34638332 104.76337488
 104.00239916 103.74934236 104.75824868 103.96172629 105.77726852
 104.47886977 104.73783708 105.51696737 104.7378884  103.96168773
 104.99721124 105.25692251 102.73541592 104.47881239 104.04813247
 104.03084329 173.40114411 109.39795862 104.73824373 110.55895843
 103.70439509 107.97646789 110.30190498 102.93251373 104.99750386
 104.73829651 103.44681449 108.49035833 104.2206485  104.22070841
 104.47936983 102.67582381 104.73829097 160.47114928 104.9972421
 104.22005135 103.44583752 103.18848335 103.44596638 103.44582535
 102.16218285  77.19853456 103.70366924 103.18840424 104.99720359
 101.65100006 196.80487444  77.52346156  98.89483148 109.49783757
 104.02962764 105.03138775 104.02969884  82.99073596 103.86312198
 104.69688742 177.91806452  77.68884355  77.5227174   78.35525053
 104.0289059  104.02900053  78.35525594 104.3623435   78.02170715
  78.02167197  78.68952431 130.70353064 103.8651735   78.69060933
 103.53281244  78.19004779  77.69111297  78.19001941  77.02835981
  87.9614099   76.36858167  92.43407545  76.03753054  86.63663543
  76.86150281  76.69626809  76.69628802  76.20190256  77.02680038
  76.8614782  118.23186245  76.95357264  77.99745822  77.61700983
  77.7121128  123.71283729  75.91661748  77.33222774  77.14268504
 149.83787352  77.05093468  76.3906239   77.33477694  78.0942844
  97.78071718  77.80822437  74.79682202  92.00633672  78.09411715
  76.86168034 145.32548625  75.91744599 108.52142057  76.38852132
  74.98236231 100.44351418  72.75498125  87.61893439 135.22585043
 126.28462728  73.5897057  130.92328293  76.9402134  109.52005248
  73.80244509  88.31923631  33.53128362]","[3.45963596 3.47007839 3.48105905 3.49125535 3.49969863 3.51077604
 3.5194074  3.52978327 3.53993868 3.54986988 3.55805436 3.5683686
 3.57490026 3.5799855  3.58739293 3.59614464 3.60288177 3.61061418
 3.61876853 3.6279045  3.63481671 3.64226048 3.65021356 3.65751076
 3.66366136 3.66973944 3.67815714 3.68611695 3.69318339 3.70150288
 3.70891492 3.71384875 3.71903738 3.72682074 3.93924991 3.9444232
 3.94790026 3.95195733 3.95486923 3.9587751  3.96241972 3.96693387
 3.97175553 3.97466793 3.97832932 3.9818014  3.98510416 3.98864478
 3.99274434 3.99731437 4.00233076 4.00757949 4.01274981 4.01636108
 4.02049516 4.0250587  4.03036195 4.0341536  4.03825048 4.04373553
 4.16144323 4.16473415 4.16742764 4.16997364 4.1722546  4.17652701
 4.18079293 4.18493528 4.18803337 4.19006633 4.1919323  4.19384232
 4.19623913 4.19896505 4.201899   4.20442323 4.20705675 4.21043327
 4.2135087  4.21658922 4.22369991 4.22755387 4.31038905 4.31327529
 4.31569739 4.31805469 4.32117667 4.32373601 4.3267595  4.32937621
 4.33227184 4.33479277 4.33789206 4.34118761 4.34344099 4.34567935
 4.34836957 4.35112493 4.3548351  4.41685121 4.41888749 4.42127291
 4.42472048 4.42749843 4.43089322 4.43388214 4.43718347 4.43972739
 4.44239737 4.44570889 4.4486953  4.45269989 4.50435213 4.50731967
 4.51068526 4.51387471 4.5168293  4.51990915 4.52294908 4.5256631
 4.52857153 4.53245465 4.57604403 4.57952891 4.58246144 4.58448307
 4.58655303 4.58929531 4.59188339 4.59409066 4.59688814 4.59875525
 4.60183597 4.63829602 4.6406496  4.64272344 4.64498075 4.64742071
 4.64929986 4.65261423 4.65491646 4.65739827 4.66018649 4.69327008
 4.69641594 4.6990319  4.70202246 4.70442176 4.70699621 4.71006295
 4.71229877 4.74295022 4.78703879 4.7891147  4.79159387 4.79503285
 4.79804128 4.82530664 4.82959645 4.83297716 4.83654452 4.86088458
 4.86385503 4.86649342 4.86861118 4.8716026  4.89454673 4.89891673
 4.9041836  4.92474871 4.9270558  4.93170895 4.95416014 4.96011143
 4.98153869 4.98502062 4.988645   5.00787939 5.01328857 5.03450996
 5.05704529 5.07640496 5.08050161 5.09894062 5.11869581 5.13639544
 5.66811919 6.02373515]",2005
GRB 220118A,"[4.20143536 4.37523972 4.33293529 4.20571444 4.18781786 4.05273279
 3.95069182 3.94594364 3.9851726  3.74109122 3.53912932 3.37828413
 3.32670363 3.32806713 3.29912666 3.34967996 3.42377343 1.61798771
 1.42311688]","[238.54933812 229.06264956 229.0725823  219.88020405 238.56862615
 210.97603066 153.07738536 140.6547404  169.65402228 115.76796933
 104.87405795 104.87403452 104.58412879 105.16433617 110.75705059
 104.29451428 145.83885678  76.2882943  102.36568462]","[1.99125266 2.0030726  2.01260948 2.02420234 2.03604172 2.05057308
 2.06469379 2.07972016 2.09294861 2.14663029 2.20383488 2.28388442
 2.36391644 2.43191674 2.51088936 2.56230357 2.60755903 4.03079238
 4.05555882]",2022
GRB 070724A,"[ 4.28211117  4.24595291  4.3004557   4.24345378  4.27161325  4.1473634
  4.29003283  4.25775919  4.34152573  4.33108823  4.34578607  4.30819612
  4.32081135  4.2444085   4.17101228  3.98278453  3.58204483  3.69758448
  3.75872906  2.33118021  1.03203259  0.81970236  0.69372501  0.54303643
 -0.67692268]","[130.53448386 145.36959109 172.24168695 196.48680448 198.65389462
 198.03781536 203.07911713 205.68186808 215.82878999 217.2662869
 225.75016082 226.62907415 227.00117195 218.45352237 226.38705063
 221.77993327  89.98071413 105.69225407 105.78447865 124.49619359
 103.26884835 102.2631949   82.82738639  79.56066686  38.80423861]","[1.87369253 1.89315677 1.91037891 1.92705197 1.94154125 1.95750193
 1.97257308 1.98592919 1.99708481 2.00768805 2.01849662 2.0290102
 2.03933082 2.05007026 2.0618971  2.07685881 2.09852259 2.2442004
 2.33707172 2.58732588 3.94815838 4.28046065 4.4929013  4.66649795
 5.12035711]",2007
GRB 091208B,"[ 3.70470076  3.66411091  3.41625097  3.77237562  3.47013533  3.38909198
  3.26501109  3.42327947  3.35258208  3.43899887  3.23257075  3.55588997
  3.34240985  3.30387074  3.4884544   3.48967532  3.53855991  3.4170681
  3.3117206   3.38646044  3.47646773  2.46658071  2.39837391  2.53753791
  2.38150171  2.63152737  2.47388342  2.56738354  2.42798131  2.151882
  2.31896502  2.22292785  2.30363273  2.36688801  2.2224808   2.36557764
  2.26791714  2.20783733  2.12812452  2.13692784  2.0799247   2.20221687
  1.85524238  2.13578726  1.93784384  1.93821852  1.83998545  1.81685703
  1.70305611  1.80133606  1.70213427  1.80497626  1.68238419  1.69252421
  1.56626975  1.40633525  1.29725569  1.18119795  1.29027018  0.9510984
  1.13215815  0.90712753  0.60404279  0.37781112 -0.07641122 -0.41058807]","[126.93057449 115.69793729 115.07092034 116.01208219 115.69793497
 110.39614826 104.46767337 120.68600236 126.61583858 111.0248413
 104.78072119 110.08250433 110.71025314 111.02477968 110.39613269
 111.02484147 104.7807925  131.91770616 115.38419983 120.68594488
 121.62858819 105.38283884 109.83733424 105.60097849 104.29549301
 104.96578793 103.06280429 104.54497825 168.56884413 103.99471327
 104.67356939 104.90029335 104.9002766  105.58211353 104.44706481
 105.12734108 115.05020616 104.22078513 104.67366881 103.31817164
 103.9947672  124.9744248   77.36705002 104.44788905  78.22794935
  78.08412648  78.08418429  83.67354389  82.09609898  77.45443553
  77.93051011  78.40817535  77.91659597  77.56062844  88.34102018
 143.96796945  75.71063483  91.0288994  209.51011192 100.04278379
  81.86792207 126.04234099 142.45524637  70.53166744  78.25731397
  22.89780643]","[2.14325219 2.18031229 2.22616926 2.26739234 2.30290211 2.34674601
 2.39064371 2.43216727 2.4889862  2.53993505 2.5690015  2.59443233
 2.61662253 2.64218446 2.66591667 2.6819482  2.69769391 2.71412095
 2.73299251 2.75640559 2.77133977 3.72880594 3.73930472 3.7504223
 3.758487   3.76675643 3.77695283 3.78911296 3.79982903 4.00916014
 4.0153821  4.02109304 4.02697024 4.03162802 4.03707521 4.04254551
 4.0481312  4.05316887 4.06000846 4.06685254 4.07507369 4.08217161
 4.20456984 4.21152692 4.21714638 4.22413995 4.23136694 4.24028465
 4.24880854 4.44944597 4.45347348 4.45942008 4.53358545 4.53798571
 4.54284789 4.61323471 4.76682838 4.83826168 4.89756596 5.08848419
 5.19233189 5.23135572 5.43615482 5.57378006 5.75770345 5.95012804]",2009
