,feature_0,feature_1,feature_2,wMSE,pred_error,sample
GRB 150120B,-2.8365654945373535,2.4839959144592285,-4.903048515319824,1.0195499601818265,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18420523405075073, 1.1741254329681396, 0.14202754199504852, 0.2512933909893036, 0.8503204584121704, 0.9208895564079285, 1.6385012865066528, 2.2724294662475586, 0.6988111734390259, 0.0, 0.0, 0.0, 0.9446262717247009, 0.05514958128333092, 1.1304817199707031, 1.0688300132751465, 1.2213525772094727, 0.012618781998753548, 0.6736176609992981, 0.6210792064666748, 0.46318793296813965, 0.7586997747421265, 0.0, 0.0, 0.08149377256631851, 0.0, 0.0, 0.0, 1.887529730796814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 231205B,-3.086946725845337,4.416494369506836,-6.933696269989014,1.0877521916439659,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5060815811157227, 0.8136427402496338, 0.4025273323059082, 0.6775514483451843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4682202935218811, 0.6664793491363525, 1.4670048952102661, 0.0, 0.0, 0.3410036563873291, 0.0, 0.0, 0.0, 1.7349053621292114, 0.0, 1.3600088357925415, 1.2766395807266235, 0.4861485958099365, 0.3253662586212158, 0.5239703059196472, 0.08329163491725922, 0.0, 0.318094938993454, 1.693364143371582, 0.0, 0.0, 1.377071738243103, 1.485284686088562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 090621A,-4.580582141876221,2.919764280319214,-6.454265594482422,28.5858882023738,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.87014102935791, 0.0, 13.928269386291504, 14.089142799377441, 2.1776046752929688, 4.132150173187256, 7.164605140686035, 6.696072101593018, 4.924743175506592, 2.199319362640381, 4.324367523193359, 3.811126232147217, 0.0, 0.0, 0.0, 0.0, 2.71479868888855, 1.3712446689605713, 1.0449981689453125, 0.0, 0.9811680912971497, 0.0, 2.795285701751709, 1.8589272499084473, 2.3525044918060303, 1.5449020862579346, 3.152423858642578, 2.30290150642395, 2.1079587936401367, 0.0, 0.0, 0.6857479810714722, 0.3923557996749878, 0.0, 0.0, 0.0, 0.8036934733390808, 0.0, 0.9065966606140137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 150626A,-5.1934685707092285,4.241768836975098,-5.091212749481201,2.1657473754882814,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.404165744781494, 0.631825864315033, 0.8157874941825867, 1.9576027393341064, 0.3901697099208832, 1.206213355064392, 1.4432003498077393, 2.6225240230560303, 0.672037661075592, 0.3603411018848419, 0.31999099254608154, 1.0218015909194946, 0.6640456914901733, 1.5273354053497314, 0.05203980952501297, 0.7066588997840881, 0.0, 0.0, 0.0, 0.728282630443573, 0.3345647156238556, 0.0, 0.26573240756988525, 1.552030086517334, 0.5493667721748352, 0.0, 0.4122694432735443, 0.6560782194137573, 0.0, 0.6519898176193237, 0.14606212079524994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 130511A,-3.449479341506958,2.1250360012054443,-4.556238174438477,2.7834392346833883,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8823108673095703, 2.4107158184051514, 0.3541032075881958, 1.8047047853469849, 0.489484965801239, 0.7972988486289978, 0.5036967396736145, 0.887926459312439, 0.38232848048210144, 0.44776731729507446, 0.9356777667999268, 1.6393169164657593, 1.0492749214172363, 1.8854970932006836, 0.6816630363464355, 3.085327625274658, 0.0, 0.0, 0.0, 0.0, 1.2463948726654053, 0.0, 0.0, 0.9682921171188354, 0.0, 0.0, 0.0, 2.379307508468628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 070208,-2.1129438877105713,2.4447429180145264,-4.542895317077637,1.8743907610575359,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3120009899139404, 0.0, 0.0, 2.7198092937469482, 1.3897615671157837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1984140872955322, 0.6242088675498962, 0.0, 0.0, 1.2505855560302734, 0.0, 1.4460468292236328, 1.3122960329055786, 0.8683648109436035, 0.7032949924468994, 1.6843445301055908, 0.0, 0.0, 0.0, 0.0, 0.3922692537307739, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 100725B,-6.001734733581543,4.450616359710693,-6.390738010406494,26.23856999323918,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.224409103393555, 10.929121017456055, 6.7463884353637695, 0.39274582266807556, 2.8391246795654297, 11.186190605163574, 7.588964462280273, 5.584720134735107, 5.067017555236816, 4.737755298614502, 3.9086310863494873, 1.43436598777771, 1.4917974472045898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0150766372680664, 1.8031195402145386, 2.488795280456543, 0.0, 0.0, 0.0, 0.0, 0.719622015953064, 1.3643518686294556, 0.0, 0.0, 0.9351558089256287, 1.065346121788025, 0.7556706070899963, 1.362030029296875, 0.332604318857193, 0.2757135033607483, 1.9298081398010254, 0.0, 0.0, 1.9747353792190552, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 150925A,-5.404893398284912,2.6510322093963623,-4.848812103271484,2.026259660720825,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0162434577941895, 0.8144683241844177, 1.0462055206298828, 0.9426531791687012, 1.1741405725479126, 0.7848566770553589, 1.9287055730819702, 1.4941035509109497, 0.5070334672927856, 2.815124034881592, 0.18668560683727264, 0.9570220708847046, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4663736820220947, 0.0, 0.0, 1.0425708293914795, 0.0, 0.0, 1.05703604221344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5844069719314575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 090809,-4.162996292114258,2.735689878463745,-7.185474395751953,13.715289524623326,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.110093593597412, 6.002012252807617, 9.013856887817383, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31024524569511414, 4.212653160095215, 4.797842502593994, 0.0, 0.9637988805770874, 1.6390875577926636, 0.10082809627056122, 1.1721975803375244, 0.5232625007629395, 0.0, 0.2126690149307251, 0.0, 0.0, 0.0, 0.0, 0.7680015563964844, 0.0, 1.3625930547714233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 181023A,-2.4366605281829834,3.9142653942108154,-7.214217185974121,12.292613153872283,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3144609928131104, 0.0, 2.0072948932647705, 4.603643894195557, 0.38497886061668396, 1.1081411838531494, 0.7725003957748413, 1.5103540420532227, 3.1744611263275146, 3.7522385120391846, 1.6957740783691406, 9.061698913574219, 0.0, 0.0, 0.0, 0.0, 1.1521958112716675, 0.6747875213623047, 0.0, 0.8756101131439209, 0.7522783279418945, 3.515094518661499, 0.37026500701904297, 0.9528555870056152, 5.5735578536987305, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1499454975128174, 0.0, 0.0, 6.578059673309326, 0.0, 6.552525043487549, 0.0, 0.5833207368850708, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
